Date,Open,High,Low,Close,Volume,Adj Close
1993-08-17,97.000149,98.75015,95.875133,98.125146,1800600,46.806194
1993-08-16,96.375145,98.250138,96.000138,97.000149,1451200,46.269564
1993-08-13,96.375145,96.625142,95.625137,96.125149,909000,45.852185
1993-08-12,96.625142,96.750134,94.75013,96.125149,924100,45.852185
1993-08-11,96.750134,96.875138,96.000138,96.000138,1725300,45.792554
1993-08-10,95.500145,96.250134,94.500134,95.000133,1373700,45.315547
1993-08-09,97.500142,98.500147,95.375134,95.500145,2344200,45.554055
1993-08-06,96.750134,97.750138,96.250134,96.250134,1469200,45.911804
1993-08-05,96.000138,97.375137,95.750141,96.750134,1766100,46.150306
1993-08-04,94.500134,97.375137,94.000141,96.000138,2705600,45.792554
1993-08-03,94.625145,95.125138,93.250133,94.625145,1558600,45.136675
1993-08-02,90.125133,94.500134,90.125133,94.375129,2377200,45.017417
1993-07-30,89.000136,91.37514,88.750121,90.625132,1466100,43.228649
1993-07-29,89.125128,89.62514,88.375132,89.250132,1672900,42.572767
1993-07-28,89.125128,90.250125,88.875125,89.000136,1413500,42.453517
1993-07-27,90.375129,90.875128,88.750121,89.125128,1160300,42.513139
1993-07-26,89.000136,90.125133,89.000136,90.125133,1526100,42.990147
1993-07-23,86.500127,88.500124,86.500127,88.250128,1136700,42.09576
1993-07-22,87.500132,88.625129,86.375116,86.875128,1355600,41.439878
1993-07-21,87.00012,88.500124,86.250124,87.375127,1737900,41.67838
1993-07-20,85.500116,87.00012,85.25012,86.750124,2638400,41.38025
1993-07-19,86.000128,86.375116,83.625124,84.625116,3195600,40.366611
1993-07-16,88.125136,88.375132,86.250124,86.500127,1768600,41.261001
1993-07-15,89.500129,89.62514,88.250128,88.750121,1694800,42.334259
1993-07-14,89.875136,90.625132,89.500129,89.500129,2351200,42.692017
1993-07-13,87.750128,90.000128,87.625124,89.500129,3692600,42.692017
1993-07-12,86.375116,87.250136,84.75012,86.875128,1871400,41.439878
1993-07-09,84.125123,86.250124,83.750116,85.750131,875500,40.903249
1993-07-08,83.375127,86.000128,83.375127,84.625116,1550800,40.366611
1993-07-07,83.87512,83.87512,82.500127,83.375127,1693600,39.77036
1993-07-06,86.750124,87.125125,83.250123,83.625124,1784700,39.889609
1993-07-02,86.000128,86.375116,85.125128,86.250124,1247800,41.141748
1993-07-01,87.87512,88.375132,85.875123,86.000128,1591800,41.022498
1993-06-30,87.625124,87.87512,87.125125,87.375127,1351700,41.67838
1993-06-29,87.250136,87.87512,86.875128,87.00012,1432300,41.4995
1993-06-28,86.625132,88.625129,86.500127,88.125136,2009400,42.036138
1993-06-25,84.000112,86.12512,83.87512,86.12512,1361500,41.08212
1993-06-24,82.625119,84.375119,82.625119,83.625124,1299900,39.889609
1993-06-23,83.250123,83.750116,82.375122,82.500127,1024600,39.35298
1993-06-22,82.750123,84.000112,82.500127,83.500119,1094900,39.829981
1993-06-21,81.375111,82.750123,80.875118,82.000115,1478900,39.114472
1993-06-18,82.500127,83.125112,80.875118,81.000123,1514700,38.637471
1993-06-17,82.875115,83.625124,82.12512,82.750123,1531300,39.47223
1993-06-16,84.125123,84.125123,80.625116,82.750123,2542900,39.47223
1993-06-15,85.000123,85.875123,83.500119,83.625124,1860000,39.889609
1993-06-14,84.875131,85.500116,84.500124,84.625116,1031400,40.366611
1993-06-11,83.750116,84.500124,83.500119,84.500124,1856300,40.306989
1993-06-10,82.000115,83.250123,81.625127,83.125112,1635900,39.651101
1993-06-09,84.500124,84.500124,81.500122,82.000115,2595300,39.114472
1993-06-08,85.25012,85.500116,83.500119,84.500124,1270600,40.25452
1993-06-07,86.750124,88.000125,85.375124,85.375124,1949200,40.671356
